Machine Make and Model,Bar feed Model,Installation Distance,Modification notes,Parameter Record
,,,,
Citizen,,,,
A-32,C332,,,
C-20,C320,,,
,,,,
,,,,
EMCO   ,,,,
Emco Turn 420 MC,FMB Doppel Turbo ET420,12.25,,
,,,,
Ganesh,,,,
Ganesh 52 TTMY,V65 Servo,,,
Ganesh 52 TTMY,Patriot 551,7.5 from oil Recouperator,,
Ganesh 32CS,Rebel V-65 Servo,,need Diode for collet open / feed stop,
Ganesh Cyclone 32 NCY,Patriot 338,,need Diode for collet open / feed stop,
Ganesh 32CS,Patriot 338,,need Diode for collet open / feed stop,
,,,,
Hanawah,Do Not forget to check interface on / off switch for sourcing 24vdc to bar feed outputs,,,
Hanwha XD20H,,12,,
,,,,
Hwacheon,,,,
Hwacheon Cuetex 160A MC,,,,
,,,,
,,,,
Miyano,,,,
Miyano BNA-42 DHY,MLS-65,11.25,,
,,,,
Maier,,,,
Maier MLK 32/38,FMB Turbo 338,14,,
,,,,
,,,,
STAR,,,,
SR10J type C,MM320,7.5 from Main sheetmetal,,
SB16r type E ,MM320,"14""",remove 2 inches from Telescopic tube,
SR20R IV type B,MM320,11 3/4,Cut Telescope to 11 inches colapsed Threaded rod to 16 inches,
SB 20,MM320,16.25,No modificatons to Telescopic tube ,
Star ST38,FMB Turbo 338,,,
SR32 J,Patriot 332,24.5,Cut Telescope to 11 inches colapsed Threaded rod to 16 inches,
Star SR 32JN,V65 Rebel,12.75,Should use telescopic tube ,
Sr32JN,MM320,9,No Modifications to Telescopic tube,
SV32,Patriot 338,24.5,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Tsugami  ,,,,
Tsugami BH38,Patriot 338,,,
Tsugami BO385L ,Patriot 338,15.5,,
Tsugami Bo 325,Patriot 338,29.5,Cut Telescope to 10 in overall colapsed,
Tsugami BO 326,Patriot 338,29.25,"Cut Telescpoic tube 2"" keep drop",
Tsugami GO 385L,Patriot 338,,Bar feed has reach issues,
Tsugami SS32,Patriot  338,26,,
Tsugami SS32,FMB Turbo 338,,,
Tsugami,Minute Man 320,16.5,,
Tsugami BO 125 II,FMB Mini Turbo,16.5,,
Tsugami BE 12 V,FMB Mini Turbo,15,,
Tsugami S206,FMB Mini Turbo,14.5,,
Tusgami BO125,Minute Man 320,16.5,,
Tsugami  SS26,Minute Man 320 Extended,15,remove 3 inches from Telescopic tube keep remnant Cut threaded rod to 8 inches,
Tsugami S207-5AX,FMB turbo 220,14.5,,
Tsugami SS327-5AX,Patriot 338,29,,
